stadium,n,n_races,n_hits,mean_implied_p_norm,mean_actual_p,lift,mean_odds,mean_odds_low,mean_odds_high,ev_all_buy,ev_actual_low,ev_actual_high,ev_actual_corrected,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi,ev_boot_lo,ev_boot_hi,ev_corrected_boot_lo,ev_corrected_boot_hi
5,6780,2026,1532,0.27764092234666626,0.22595870206489677,0.8138522958181273,3.4429646017699116,3.4429646017699116,7.848141592920355,0.6578613569321533,0.6578613569321533,1.3814011799410029,0.8351286135693214,0.21771468540443137,0.23442134258719136,0.790666822804877,0.8365762591150078,0.6350690818913414,0.6801998698643641,0.7851146714861567,0.8919303515617442
4,6764,1941,1585,0.28565829452741065,0.23432879952690716,0.820311554105501,3.3074659964518034,3.3074659964518034,6.2837226493199285,0.657347723240686,0.657347723240686,1.2233589591957421,0.7960204760496747,0.2259645679059001,0.24290547868911896,0.7973623103344754,0.8415435144637409,0.6361851986423434,0.6788396688362646,0.7667852495178689,0.8247890321749966
1,8027,2287,1835,0.281835241122176,0.22860346331132428,0.8111244796821713,3.361866201569702,3.361866201569702,6.0210414849881655,0.6486483119471782,0.6486483119471782,1.1383954154727796,0.7686363523109505,0.22098608202185097,0.23640373427697028,0.7918177022930252,0.8321077166198877,0.6292690770122221,0.6687305626774107,0.7447538693551071,0.7924911315369333
2,7870,2252,1825,0.2875698405173378,0.23189326556543838,0.8063893805701692,3.2830495552731893,3.2830495552731893,6.019479034307497,0.646010165184244,0.646010165184244,1.1772426937738247,0.7761621346886913,0.22416101828680104,0.23980978860959098,0.7861990388756863,0.827482358812773,0.6261888777660507,0.6671597376348081,0.7469039910790998,0.8066124897872737
3,6540,1898,1501,0.28522029004697175,0.22951070336391438,0.8046787391111524,3.33631498470948,3.33631498470948,5.7877675840978595,0.6442813455657491,0.6442813455657491,1.1036391437308868,0.7568240061162079,0.22107050106543805,0.23817461144925708,0.7830722665483448,0.8267739032079219,0.6225582779643889,0.6664642444455475,0.7300015600827201,0.7845663235823653
14,7152,2058,1614,0.28283389868855907,0.2256711409395973,0.7978928338717057,3.3504753914988816,3.3504753914988816,6.807620246085011,0.6346196868008949,0.6346196868008949,1.2301593959731545,0.7805269155480985,0.2176453100303092,0.23390444611722325,0.7774742418044858,0.8182053992478102,0.6140992478728781,0.65433886556852,0.7482385203119233,0.8155784865183822
17,7273,2152,1614,0.28332016764988127,0.22191667812457033,0.7832717309373064,3.342004674824694,3.342004674824694,7.280888216691874,0.6285301801182456,0.6285301801182456,1.366245015811907,0.8092703148631926,0.21400637133249217,0.23003380101350662,0.7629325130455226,0.8047488223552448,0.6088904826296094,0.6487027651773424,0.7721440531448912,0.8545446988682732
8,7384,2159,1575,0.27772336842228235,0.21329902491874322,0.7680269259676378,3.4331798483206932,3.4331798483206932,6.970002708559047,0.6246885157096425,0.6246885157096425,1.205065005417118,0.766880755687974,0.20556360153884823,0.22124446938093278,0.747515233344738,0.7893828825100014,0.6041067390143937,0.645867687516552,0.7405966062976783,0.793535086262893
12,7841,2279,1656,0.2755477797102093,0.21119755133273818,0.7664643553101841,3.4467159801045786,3.4467159801045786,6.441155464864175,0.6202525188113762,0.6202525188113762,1.1152148960591763,0.7415183012370872,0.20371606059349037,0.21887827636761067,0.7464992006978098,0.7869459859286719,0.6009491351863171,0.6408628624628234,0.7183139020579923,0.7665017363906002
6,7389,2216,1588,0.27915270591556435,0.21491406144268507,0.7698799147864623,3.404236026525917,3.404236026525917,6.6009067532819055,0.6179861956963052,0.6179861956963052,1.1448098524834214,0.7470579916091487,0.20715910332254697,0.22287771629468947,0.7498713664510267,0.7918834615929653,0.5977542077365796,0.6397691521064984,0.7220320731738485,0.7737302666585442
10,7194,2122,1533,0.2771077147240279,0.21309424520433695,0.7689942714751118,3.4416180150125104,3.4416180150125104,6.250611620795106,0.6164442591048095,0.6164442591048095,1.0823742007228245,0.7305970948012233,0.20526160819659148,0.22114260202502814,0.7475477308134952,0.7916110640775353,0.5951191624717187,0.6383545704632054,0.70553448017543,0.7576142347229464
9,6721,2000,1448,0.2779980250267037,0.21544413033774737,0.7749843917670006,3.4352030947775627,3.4352030947775627,6.7650052075584,0.6131825621187323,0.6131825621187323,1.176952834399643,0.7513062788275554,0.2073107200334374,0.223806544802193,0.7519820127222285,0.7977047592769803,0.5914018779836122,0.6350356083591654,0.7235696234788577,0.778686831087321
