wind_speed_band,n,n_races,n_hits,mean_implied_p_norm,mean_actual_p,lift,mean_odds,ev_all_buy,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi,ev_boot_lo,ev_boot_hi
"[0,2)",10739,6500,1564,0.12833711698347885,0.14563739640562437,1.1348033977136374,6.03166030356644,0.8784353026145743,0.1401277419019892,0.15132555951176266,1.0952336117119663,1.175016070170848,0.8479298521164744,0.9093962301984482
"[2,5)",22896,14097,3280,0.12872835218975648,0.143256464011181,1.112858679337469,6.01905573025856,0.8622686406030782,0.1394903162164972,0.14710691221636213,1.0862644566404487,1.1402358204958465,0.8415734990711998,0.8832948962493886
[8+),422,276,57,0.1275185203843143,0.13507109004739337,1.0592272372696703,6.07867298578199,0.8210529862312167,0.1100163101092719,0.1647753549698763,0.8554501318610971,1.2596310100399883,0.6629863716440906,0.9759642967057777
"[5,8)",4575,2895,587,0.12717704962258486,0.12830601092896174,1.008877083638339,6.074863387978142,0.779441488249873,0.12039238164747103,0.13665900190792807,0.9514992452234492,1.0676103297629342,0.7350886967341695,0.8251003815241255
