bin_lower,bin_upper,n,n_races,n_hits,mean_implied_p_norm,mean_implied_p_raw,mean_implied_p_takeout,mean_actual_p,lift,mean_odds,ev_all_buy,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi
0.0,0.1,160199,50285,6790,0.04923348750700439,0.06696546213191033,0.05357236970552828,0.04238478392499329,0.8608933892599678,24.257838688131635,1.0281632512838021,0.04156454512706756,0.04322047946038815,0.8450437737091763,0.876340926301508
0.1,0.2,62968,37450,8413,0.1408075465293583,0.19157358417083342,0.15325886733666677,0.1336075466903824,0.9488663781420642,5.427280523440477,0.7251256359373767,0.13139310002807272,0.13585347753871566,0.9340699012725011,0.9630552774832384
0.2,0.30000000000000004,25297,19662,6288,0.24503623569491517,0.3326143254652429,0.2660914603721944,0.24856702375775783,1.0144092487089897,3.0488911728663477,0.7578538046006875,0.24412456297938864,0.25306326088082376,0.9982835907577944,1.0312889899052347
0.30000000000000004,0.4,15233,12852,5521,0.34718547212958417,0.47130722870625597,0.3770457829650048,0.3624368148099521,1.0439285163253476,2.1353902711219064,0.7739440482415838,0.3560553912037639,0.36886709511977694,1.0266444309485756,1.0598705076988728
0.4,0.5,13887,13495,6813,0.45158395977812127,0.6141222853366881,0.4912978282693506,0.49060272197018795,1.086404225276819,1.6358752790379492,0.8025648646997586,0.4836274670415141,0.49758163784674575,1.0720145394534006,1.1021007691964098
0.5,0.6000000000000001,10093,10093,6010,0.550492335333718,0.7530504767203468,0.6024403813762774,0.59546220152581,1.0816902676125917,1.3311899336173587,0.7926732885207892,0.5874019536632269,0.6034712836460208,1.0677538631152812,1.0966633057885753
0.6000000000000001,0.7000000000000001,9007,9007,6117,0.6382881496920627,0.8743805323132513,0.6995044258506009,0.6791384478738759,1.0639997753389612,1.1458310203175306,0.7781779006641872,0.6709951934970276,0.687174114527089,1.0509933736855892,1.0762596505964628
0.7000000000000001,0.8,5370,5370,3922,0.7364021928498234,1.0,0.7999999999999998,0.7303538175046554,0.9917865869983884,1.0,0.7303538175046554,0.7202786284789513,0.7401970071185047,0.9785878027248471,1.0055713883148476
0.8,0.9,770,770,560,0.8346286778641856,1.0,0.8,0.7272727272727273,0.8713727991396341,1.0,0.7272727272727273,0.7001117557615487,0.7528421578799324,0.8393930179264615,0.9025405245729592
0.9,1.0,74,74,49,0.927651106529386,1.0,0.7999999999999998,0.6621621621621622,0.7138051768617023,1.0,0.6621621621621622,0.5674303825031107,0.7454544354548359,0.6123148133434733,0.8107861203736457
