stadiumXodds_band,n,n_races,n_hits,mean_implied_p_norm,mean_actual_p,lift,mean_odds,ev_all_buy,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi,ev_boot_lo,ev_boot_hi
"19|[1,5)",2937,1477,897,0.2809437321750237,0.3054136874361593,1.0870991321703207,2.9976166155941435,0.9155131440885075,0.29161885027777007,0.31956669769483476,1.057421625669142,1.1171055157598955,0.8894922207688386,0.941376366451481
"22|[1,5)",2838,1398,863,0.2833717052300119,0.30408738548273434,1.0731042650708813,2.966455250176181,0.9020616211776055,0.290075942494919,0.31847201047317114,1.0417042333975988,1.1037922325118057,0.8750665685959393,0.9277694848571131
"18|[1,5)",2588,1343,789,0.2850256886240203,0.30486862442040186,1.0696180610673185,2.955177743431221,0.9009409735576636,0.2901942605589868,0.3199505501656612,1.0368372909889882,1.1010863681624714,0.8731601157429987,0.9281270668698112
"20|[1,5)",2981,1508,875,0.27723095043900037,0.2935256625293526,1.0587766700094243,3.0300905736330095,0.8894093431495751,0.27999898761261766,0.30742678813101376,1.0280384175018078,1.092085573703518,0.8639948361873476,0.9172550881504125
"11|[1,5)",3415,1589,1008,0.2791994045213101,0.2951683748169839,1.0571955743353132,2.9952855051244507,0.8841135546604527,0.28249622432109484,0.3081648252595241,1.0297102751031963,1.084952599596585,0.8603940722417004,0.9075133097241214
"3|[1,5)",3717,1604,1089,0.27717635184842965,0.2929782082324455,1.057010117488872,3.0159268227064837,0.883600836676718,0.28085327168712315,0.3054043011177139,1.0314607875562471,1.0824477324310897,0.8621232016483227,0.9048500843902435
"2|[1,5)",4357,1881,1262,0.2744122653628517,0.2896488409456048,1.0555243970695187,3.0412898783566678,0.8809060882456081,0.2784788170414512,0.30107994404227195,1.0304509588927586,1.0805772624075503,0.8602981309744383,0.9019775947261434
"5|[1,5)",3494,1610,1029,0.2791357101116774,0.2945048654836863,1.0550597964189532,2.988036634230109,0.8799913270242651,0.2819836941619743,0.30734403671081206,1.0275071430105422,1.082294254739986,0.8566939804430793,0.9026691766844189
"7|[1,5)",3298,1628,988,0.2863004744746564,0.29957550030321406,1.046367460106088,2.9344451182534868,0.8790878644131125,0.2866240772523383,0.31285549382852706,1.018666864017859,1.0732525972679101,0.8554244618801958,0.9016412491366955
"23|[1,5)",2890,1436,858,0.2829619075059666,0.2968858131487889,1.04920770348754,2.9594463667820072,0.8786176410723052,0.28310171501681625,0.31104985611124236,1.019811703252072,1.0792273244461434,0.8537560929699555,0.9043492368310471
"12|[1,5)",3170,1592,928,0.28205597658161485,0.29274447949526816,1.0378949705061844,2.978611987381704,0.8719722158644232,0.27963249278190355,0.3062099429553064,1.0074273324108725,1.0658102478874178,0.8463364340171138,0.8956670574502753
"9|[1,5)",2860,1353,831,0.2789027525811409,0.29055944055944055,1.0417948115263165,2.9967832167832165,0.870743654946452,0.2767982613715663,0.30471650435787984,1.011454065175549,1.0719261787792673,0.8452469348218111,0.8958080100408813
"10|[1,5)",3362,1588,971,0.2785345852590141,0.28881618084473526,1.0369131739103787,3.0070791195716837,0.8684931068126427,0.2761333235934824,0.3018386618711728,1.007898031266061,1.0666806444816226,0.8436746152158171,0.8936161775394901
"6|[1,5)",3735,1734,1079,0.2777106421128831,0.28888888888888886,1.0402514166938623,3.0032128514056224,0.867594823739402,0.27684638861877137,0.30123701531286634,1.014798123530196,1.0669623640027588,0.8462209508982241,0.8905323258676409
"8|[1,5)",3223,1551,927,0.2781257116904561,0.2876202295997518,1.0341375051288417,3.0124107973937324,0.8664302851951567,0.2746878247144574,0.30090889930205944,1.006684910444178,1.0630735401686582,0.8433273810945047,0.890590889925471
"24|[1,5)",3024,1604,874,0.28263363053064855,0.289021164021164,1.0226000475545771,2.984457671957672,0.8625714303210996,0.2756554473032601,0.30276406471051154,0.9916441600429363,1.0518628546427007,0.8366082937534485,0.8879290077815956
"21|[1,5)",2734,1465,793,0.2845950067739004,0.2900512070226774,1.0191718059660537,2.972348207754206,0.8621331853507993,0.27598922367539896,0.30452830670126435,0.9875998669796734,1.050757899479881,0.8345126089399295,0.889162119553384
"17|[1,5)",3221,1567,916,0.2780487717422368,0.2843837317603229,1.0227836288518435,3.0236882955603854,0.8598877611714726,0.2714944474486098,0.29763493447634976,0.9936715624318831,1.052686943270066,0.8349050127386867,0.8848003538160383
"1|[1,5)",3901,1772,1106,0.2780295785914859,0.28351704691104845,1.0197369947016515,3.0076134324532173,0.8527096786191383,0.2718007672549143,0.29553340249767135,0.9917133453780013,1.0460428693937087,0.8293178830854252,0.8753714183062141
"15|[1,5)",3336,1612,938,0.27810177633730054,0.28117505995203834,1.0110509312641367,3.0300959232613907,0.8519874028834485,0.26855327397795936,0.2941514985760345,0.9817752630125707,1.0378680212719396,0.8275722063021658,0.8749275296217156
"14|[1,5)",3441,1546,955,0.2743084434336845,0.2775356001162453,1.0117647005034351,3.05916884626562,0.8490282616052506,0.2651580610706377,0.29026269698163726,0.9838038634908641,1.0390676011887539,0.8249004569330468,0.8716186370001971
"4|[1,5)",3678,1592,1028,0.276428640022041,0.279499728113105,1.0111098766423736,3.02542142468733,0.8456044656276714,0.2674941224834232,0.29182949608622155,0.9851124601163891,1.0384477384855844,0.8236972419925404,0.8686501052706224
"16|[1,5)",3136,1502,881,0.280064021109776,0.2809311224489796,1.0030960825877155,2.996045918367347,0.8416825427556227,0.2679227642052268,0.2943171525446781,0.9733906970360146,1.032555255754262,0.8165574435901647,0.867096556637176
"13|[1,5)",2760,1375,779,0.28349718882759706,0.2822463768115942,0.9955879209202194,2.962391304347826,0.8361242123503465,0.26837284893936664,0.2965464010154477,0.963596683774115,1.0264685479441302,0.8092562684380068,0.8622076365573198
"14|[5,10)",1707,1184,223,0.12250421123621498,0.13063854715875806,1.0664004595471277,6.0798476859988275,0.7942624686454238,0.11780421146011784,0.1446418835250932,0.9592231258317185,1.1711461493835682,0.7142519281486295,0.8723121130956621
"4|[5,10)",1716,1199,221,0.12293265181858426,0.12878787878787878,1.0476295506740982,6.064335664335663,0.7810129264674717,0.11606936088922996,0.14267510243539946,0.9461204317571399,1.1509050449417284,0.7053381751468502,0.8578044948797573
"1|[5,10)",1876,1322,234,0.12251112732796242,0.12473347547974413,1.018139969815415,6.08001066098081,0.7583808606980328,0.11272335621815842,0.13782444521573708,0.9213358052376764,1.1111306456342076,0.6862511772406115,0.8277284929841878
"8|[5,10)",1583,1136,190,0.12206349126666474,0.12002526847757422,0.9833019458321265,6.100126342387871,0.7321693019922271,0.10723376887202224,0.13411339992229201,0.8805155363905279,1.0908376611343211,0.6553940713957146,0.8121336705139262
"5|[5,10)",1600,1149,192,0.12216185960606102,0.12,0.9823033178028524,6.093937499999999,0.7312724999999999,0.10727451030983809,0.13400845338459139,0.8763076219737028,1.0873210827673183,0.6518920895186359,0.809494392141055
"23|[5,10)",1546,1116,180,0.12142188677805685,0.11642949547218628,0.9588839258032945,6.129818887451487,0.7136917204018548,0.10367697729353147,0.13052218663865744,0.8552598708457934,1.0679715814939668,0.636432202159785,0.7951473353848342
"10|[5,10)",1660,1190,190,0.12189798367215929,0.1144578313253012,0.9389641065198573,6.106385542168675,0.6989236463928001,0.10222744625756654,0.12794291972260877,0.8414501921366838,1.0389328816253143,0.6261339180068679,0.7733686424863858
