stadium,n,n_races,n_hits,mean_implied_p_norm,mean_actual_p,lift,mean_odds,ev_all_buy,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi,ev_boot_lo,ev_boot_hi
7,1931,1214,308,0.1288716881079069,0.1595028482651476,1.2376872733411595,6.008337648886587,0.958346968336131,0.14627526514991904,0.17368324432868973,1.137975233618537,1.3334274413124891,0.8814249896570855,1.0333972912596687
24,2316,1354,365,0.1310461995570527,0.15759930915371329,1.2026240340155787,5.928195164075993,0.9342794623867605,0.14554610292237338,0.17045156462216934,1.1214050214441664,1.2825476225042298,0.8709220520098682,0.996236650786027
1,1325,827,200,0.12575586485726037,0.1509433962264151,1.200289118903074,6.1267924528301885,0.9247988608045568,0.13547865639959472,0.1678307222796837,1.0838989971501016,1.3220051974118927,0.8348654961942001,1.0180532516696088
20,1676,1023,260,0.13234465449761237,0.15513126491646778,1.172176280979044,5.906921241050119,0.9163481638860567,0.14114248958065842,0.17023167933915065,1.0721637063549059,1.268611761125121,0.8383340960358325,0.9922959753073014
13,1640,1013,245,0.127717064766883,0.14939024390243902,1.1696968151837441,6.043963414634145,0.9029091686496131,0.13548933902659052,0.16444606048395713,1.0624352242904893,1.2746857621974543,0.8200061414986135,0.9837260380446563
5,1380,913,199,0.12583866854156822,0.14420289855072463,1.1459347132482585,6.121304347826088,0.882709829867675,0.1293440802937284,0.16045409499463043,1.0281173644440857,1.258114538698439,0.7914268958797692,0.9694713590209333
15,1864,1108,277,0.13184511535797822,0.14860515021459228,1.1271191186044942,5.90917381974249,0.8781336631269687,0.13556322036913987,0.16266568102683732,1.0380657009706706,1.2170754148362932,0.8087683109564865,0.9480946378349141
23,1763,1027,258,0.13014321556525119,0.14634146341463414,1.124464788879152,5.9760068065796945,0.8745375814506869,0.13303728684639493,0.16072944304640308,1.028464679418205,1.2190309226046494,0.7998544005585467,0.9482357749805612
6,1649,1057,236,0.12671469587109993,0.14311704063068525,1.1294431134986154,6.079805942995756,0.8701238341704053,0.1295163927324215,0.15788685861307988,1.029528763416924,1.2340884518374968,0.7934764665053504,0.9509155691498958
18,2310,1303,334,0.13001901197901736,0.1445887445887446,1.1120584781253262,5.974891774891775,0.8639021007852178,0.13296855624172493,0.1570404962952342,1.0314674735730833,1.196302445380293,0.802163773713472,0.9294413573581475
22,1826,1124,262,0.12983820505089774,0.14348302300109528,1.1050909317858226,5.987732749178533,0.8591379957747949,0.13051602108687724,0.15750494835757664,1.0093916578085262,1.2016296760197747,0.7852822352603723,0.9339722598223722
9,1993,1157,289,0.13207113938319526,0.14500752634219768,1.0979501427747087,5.902809834420472,0.8559518525577101,0.13251536397889338,0.15846220300678085,1.0103211754668948,1.1835510591177778,0.7873447198047143,0.9230486559096845
3,558,406,76,0.12277410955330033,0.13620071684587814,1.1093602498232649,6.252150537634408,0.8515473850541488,0.11406529613958222,0.16184698127623948,0.930339832112514,1.300997846258168,0.7144445243892344,0.9978000856388867
19,1859,1122,261,0.12828289529551443,0.14039806347498654,1.094441025450536,6.040236686390532,0.8480375336998003,0.12766690563672287,0.15417441201901586,0.9983641508593473,1.1929087514091765,0.7736170232975559,0.9246902411942575
2,620,454,83,0.12156342068795904,0.1338709677419355,1.1012438362159014,6.304032258064516,0.8439268990634755,0.11296039097626802,0.15796307393830444,0.9323662107143655,1.2781341516376135,0.7138289980152942,0.978768543671578
17,1777,1094,244,0.12528461783808542,0.1373100731570062,1.0959850900009303,6.144625773776027,0.8437190145196121,0.12443076100630704,0.1512921220621596,0.9947813139682842,1.2000491661144852,0.7663005678548445,0.9243715611440806
14,1073,689,145,0.12481686147710734,0.13513513513513514,1.0826673058104435,6.156756756756757,0.8319941563184807,0.118883224741955,0.15322241349266508,0.9599017144690081,1.2071207770457941,0.7373193554032994,0.9275591645864841
11,1561,1004,213,0.12900878686218184,0.1364509929532351,1.0576875906832892,6.0014734144779,0.8189070065879517,0.12278769358432064,0.15137232666291883,0.9492190866689953,1.1580203255266028,0.7343595559964812,0.8969598357957304
16,1675,1013,228,0.1289714904618132,0.13611940298507463,1.0554224231856717,6.010507462686568,0.8181466874582314,0.1229230081779881,0.1504894182420277,0.9569426162657934,1.1561385396882171,0.7410695238063882,0.8969510816597309
8,1757,1114,233,0.1274339110968745,0.13261240751280592,1.0406367219789305,6.057768924302789,0.8033353212080535,0.11986667393429645,0.14648785634358258,0.9454632041346009,1.1397405646529597,0.7298008016587689,0.8796873792232615
12,1780,1130,231,0.12477861071357114,0.1297752808988764,1.040044284486987,6.16247191011236,0.799736523166267,0.117233311404384,0.14344100195064238,0.9479724721275988,1.1354735065110604,0.7281364881764638,0.8730814770808795
4,536,393,66,0.12012886824144768,0.12313432835820895,1.02501863341225,6.361940298507463,0.7833732457117398,0.10166358528872338,0.14839053999535035,0.8550560365027214,1.2133500942217703,0.6534064835587923,0.9271798203384153
21,2050,1233,257,0.12767185590207691,0.12536585365853659,0.9819380534006726,6.0445365853658535,0.7577784889946461,0.11382777445876868,0.1378914967741784,0.9005820709569623,1.0714693770030916,0.6951039702053402,0.8269146322899079
10,1713,996,218,0.13080681107916117,0.12726211325160536,0.9729012748012743,5.929772329246935,0.7546353577208592,0.11460265773640392,0.1410971301018308,0.8828438550420785,1.0656232688564347,0.6844069758896705,0.82670626058533
