bin_lower,bin_upper,n,n_races,n_hits,mean_implied_p_norm,mean_implied_p_raw,mean_implied_p_takeout,mean_actual_p,lift,mean_odds,ev_all_buy,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi
0.0001,0.0003,151048,14294,12,0.00022185374382493878,0.00029687090642018383,0.00022265317981513783,7.944494465335522e-05,0.3580960288686584,3586.4518894656003,0.28492547186051587,4.963015204696378e-05,0.00012716838297485903,0.20697915768333247,0.5334683889856128
0.0003,0.001,660131,24999,243,0.0006224858426985012,0.0008324764701890063,0.0006243573526417551,0.0003681087541715205,0.5913528130627906,1343.3656187938457,0.49450464433105623,0.00033126788124483275,0.0004090450877040399,0.529437335782225,0.653151961956673
0.001,0.003,843173,25773,1314,0.0018284598906816725,0.00244440589588914,0.0018333044219168541,0.0015583990474078273,0.8523014671253395,451.31225406885676,0.7033245868243857,0.001489321097668211,0.0016306757501519241,0.8161792068595273,0.8887728688282794
0.003,0.01,784912,25803,4131,0.005591779830269295,0.007473566948143609,0.0056051752111077055,0.0052630103756854275,0.941204864182209,150.44364527488437,0.7917864660376543,0.00513037046449832,0.005399060931148463,0.9201904530517694,0.9634610530372468
0.01,0.03,428506,25798,7368,0.0171186647636501,0.022879389642628943,0.01715954223197171,0.01719462504609037,1.0044372784612012,48.13460581648798,0.8276564987558714,0.016871013033660565,0.017524333788434453,0.9883060996150747,1.0199528245577971
0.03,0.05,110008,25553,4371,0.038466440005151134,0.05141988551334623,0.03856491413500967,0.03973347392916879,1.0329386843141186,19.872297469274958,0.7895954134081234,0.0387760392816413,0.040713547665875795,1.0099567347434284,1.0557326302757855
0.05,0.1,80038,24149,5667,0.06830471279287034,0.09133757500747382,0.06850318125560537,0.07080386816262275,1.0365883299638627,11.370154176766034,0.8050508973204368,0.06932704318490836,0.07230970859633874,1.0178047345393941,1.0547841750874754
0.1,0.2,18087,11447,2547,0.12567987306394837,0.16823713651858924,0.1261778523889419,0.1408193730303533,1.1204608152229885,6.1063028694642565,0.8598857416114039,0.13661887662812455,0.14512730941183444,1.0902686505133228,1.1511482454464546
0.2,0.5,546,529,151,0.22240479506817903,0.2984615651762019,0.22384617388215147,0.2765567765567766,1.2434838757500577,3.3796703296703297,0.9346707321982047,0.24623036268274562,0.30908668685165014,1.0981520132636962,1.3819945509051237
