stadiumXodds_band,n,n_races,n_hits,mean_implied_p_norm,mean_actual_p,lift,mean_odds,ev_all_buy,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi,ev_boot_lo,ev_boot_hi
"1|[1,5)",183,162,46,0.1752986476407156,0.25136612021857924,1.4339307439140556,4.3153005464480865,1.0847203559377703,0.20250291993008135,0.3074740128667885,1.1479418663769159,1.7365288384064572,0.8680646467687899,1.312763342633836
"14|[1,5)",140,126,32,0.17214761331067024,0.22857142857142856,1.3277641448268687,4.3792857142857144,1.0009795918367348,0.1756705235882289,0.29176432049372375,1.0064416939935643,1.6548696445290074,0.7592751111111111,1.248182552266804
"5|[1,5)",196,185,45,0.17388003943352653,0.22959183673469388,1.320403638523821,4.340816326530612,0.9966159933361098,0.18406068196513015,0.28248666161973607,1.0506631023536945,1.602519081295248,0.7923020567796144,1.2102655603183938
"2|[1,5)",54,48,12,0.17397708116978633,0.2222222222222222,1.2773074518094303,4.396296296296297,0.9769547325102882,0.1437030712259279,0.32724812379637597,0.7704073280496643,1.796852199594108,0.5889380545362434,1.3724079545454548
"4|[1,5)",42,41,9,0.1702358491218339,0.21428571428571427,1.2587578667543455,4.45,0.9535714285714285,0.12916381935300936,0.33399000575049925,0.6775594721439604,1.880086467763459,0.5136430325987144,1.4244965905139175
"7|[5,10)",1597,1130,236,0.11881272429183257,0.14777708202880402,1.243781614381874,6.3688791484032565,0.9411743763451276,0.13376619752323438,0.16297937880896235,1.1302229770905272,1.3577861331893897,0.8553709058368756,1.0271082830158287
"7|[1,5)",334,304,72,0.17696799114464554,0.2155688622754491,1.2181234633513638,4.2844311377245505,0.9235899458567893,0.18092211623840648,0.2547866099949543,1.014726738366334,1.432330547054754,0.7688196834283542,1.085468954768957
"19|[1,5)",310,274,67,0.17900359042982922,0.2161290322580645,1.2074005428555286,4.243548387096774,0.9171540062434963,0.18022054772080376,0.25694964742210236,1.0030235311413294,1.421264654370974,0.7625046567405295,1.078647638007998
"24|[5,10)",1854,1264,266,0.11909079212621358,0.14347357065803668,1.204741089520859,6.348921251348434,0.9109024017576502,0.13060128656620212,0.1573848969938273,1.1053092933323132,1.3073691638631186,0.8356570198482046,0.988722629927451
"24|[1,5)",462,393,99,0.17902309431197855,0.21428571428571427,1.1969724638558896,4.23982683982684,0.9085343228200371,0.18459614077924508,0.2473021790950508,1.0281462070038454,1.3566227768627444,0.7806246586795151,1.0295806716909115
"11|[1,5)",268,239,57,0.1777006505480826,0.2126865671641791,1.1968811960349575,4.2697761194029855,0.9081240253954111,0.17454809399799848,0.2565680995050194,0.9712055914897322,1.4294945221985769,0.7375796938498979,1.0855759324640724
"20|[5,10)",1336,946,190,0.11896175415339084,0.14221556886227546,1.1954730314324455,6.359431137724552,0.9044101168919647,0.1272202902486444,0.15865702259690334,1.069652066970445,1.3191703830029267,0.8093605689472817,0.9983569313574993
"12|[1,5)",215,189,45,0.1753813970800991,0.20930232558139536,1.1934123519714244,4.312558139534883,0.9026284478096268,0.1674205353331858,0.25840942739186984,0.9336105958316123,1.4367061592573311,0.7065924442419464,1.0863879640598473
"13|[5,10)",1384,946,194,0.11887413210770775,0.14017341040462428,1.1791750477523402,6.363945086705203,0.8920558864312207,0.12552475821048767,0.15622614795586462,1.0534475238915293,1.3115613854974106,0.7970343362033407,0.9927754028237095
"3|[5,10)",496,381,68,0.11644141923226543,0.13709677419354838,1.1773883820505635,6.488709677419355,0.8895811654526535,0.11365541535488174,0.16447572891394643,0.9805506255377175,1.3944476741263168,0.7408417788729915,1.0540329330174043
"23|[5,10)",1430,955,197,0.11841777783137891,0.13776223776223775,1.1633577346672086,6.387342657342657,0.8799346178297226,0.12345359110361996,0.15343899528065685,1.0445447708114355,1.2781735300911394,0.7901174590830619,0.9666054139949023
"16|[1,5)",293,253,60,0.17839886962943005,0.20477815699658702,1.1478668974862454,4.255631399317407,0.8714603548090253,0.16878522031110268,0.24617332940287626,0.9357189935323328,1.3626600704803804,0.7107423583569851,1.0346354876773471
"17|[1,5)",229,207,46,0.17486573150773982,0.20087336244541484,1.1487291461479054,4.334497816593886,0.8706851509315229,0.1609314630381754,0.24780085316926181,0.9074611265721586,1.3889977840772043,0.6864630201320222,1.0518443809397435
"15|[5,10)",1474,1020,201,0.1190079873812538,0.13636363636363635,1.1458360011314368,6.356580732700136,0.8668064635500186,0.12232567562626018,0.15173406854417676,1.0321129712766546,1.2613745858252943,0.780935933206953,0.9541906855482667
"1|[5,10)",1142,787,154,0.11781687251980649,0.13485113835376533,1.1445825667380125,6.417075306479859,0.8653499099806465,0.11908622220126536,0.152342133528153,1.0115066164124322,1.2788263761179492,0.764755829747887,0.9668516089294648
"6|[1,5)",231,213,46,0.1745521145856824,0.19913419913419914,1.1408294858350176,4.3367965367965375,0.8636045051629468,0.15950825897486373,0.2457262170858102,0.9012556303362477,1.389104092327971,0.6824108908215818,1.0519654957643603
"13|[1,5)",256,230,51,0.1755241694555491,0.19921875,1.1349932639929197,4.3140625,0.859442138671875,0.16139766914793022,0.24333097352483232,0.9119153678313604,1.3757323966402426,0.6907510683449629,1.0421954968432825
"6|[5,10)",1418,998,190,0.1189217172229557,0.13399153737658676,1.126720505770851,6.363751763046545,0.852688882213571,0.11980687517432936,0.1495702277851208,1.0081988518402143,1.2441265500798402,0.763135491130813,0.9416027822848453
"9|[1,5)",436,382,88,0.17985888516522525,0.2018348623853211,1.1221845515160838,4.2243119266055045,0.8526134163790927,0.17210016304193623,0.23524719356331383,0.9583292213321013,1.2916460566722008,0.7274604242562073,0.9811255537914051
