weather,n,n_races,n_hits,mean_implied_p_norm,mean_actual_p,lift,mean_odds,ev_all_buy,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi,ev_boot_lo,ev_boot_hi
雨,3547,2138,525,0.128966796150396,0.1480124048491683,1.1476783890681603,6.010459543276007,0.8896225712489156,0.13847316269256163,0.1580882085443732,1.077719393001309,1.2195205955438417,0.8357379135033464,0.9452354422338642
曇,9991,6124,1422,0.12857789456096488,0.14232809528575718,1.1069406274829976,6.023160844760284,0.8572650106344833,0.1366754072007591,0.14817444464610618,1.0660899753405177,1.1469527809632742,0.825618679693223,0.8883919950211754
晴,24925,15406,3522,0.1282825259056334,0.14130391173520562,1.1015055303724761,6.03535406218656,0.8528191376939244,0.13771366788319456,0.14497201817685001,1.07646804733067,1.1275868409899896,0.8336824501733742,0.872904674756212
雪,167,99,19,0.1285147978860647,0.11377245508982035,0.8852868071324033,6.01497005988024,0.6843379110043387,0.07936667163352801,0.16049316220334411,0.5944489770669182,1.1808405170708816,0.4586335500119335,0.9140657978514206
霧,2,1,0,0.1267843494043807,0.0,0.0,5.9,0.0,0.0,0.5749693909936536,0.0,0.0,0.0,0.0
