bin_lower,bin_upper,n,n_races,n_hits,mean_implied_p_norm,mean_implied_p_raw,mean_implied_p_takeout,mean_actual_p,lift,mean_odds,ev_all_buy,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi
0.0,0.1,82357,26047,3573,0.04936523362555637,0.06715325466915319,0.05372260373532255,0.04338429034569011,0.8788430066951018,24.14138324611144,1.0473567800958776,0.04223156499191467,0.04456701565238282,0.8556251257505899,0.90083066696236
0.1,0.2,32908,19509,4428,0.14114349135264334,0.1919963506385544,0.15359708051084353,0.1345569466391151,0.9533344070604579,5.414270086301203,0.7285276510921881,0.1314927674051413,0.13768121100615058,0.9337986161452805,0.9744901670742139
0.2,0.30000000000000004,13531,10442,3376,0.24502701056970974,0.33255777511713625,0.26604622009370904,0.24950114551770008,1.018259762209838,3.0499150099770898,0.7609572887209116,0.24343272641196212,0.255669719829834,0.9966271953167275,1.0411706641696046
0.30000000000000004,0.4,8118,6822,2985,0.3470037975773705,0.47104220244191425,0.3768337619535314,0.3677014042867701,1.0596466288089679,2.136659275683666,0.785652616151237,0.3589442272902077,0.3765467360865582,1.0363556162687235,1.081965119965191
0.4,0.5,7308,7098,3550,0.45085095412830356,0.6130834996833983,0.49046679974671864,0.48576902025177887,1.0774492452632989,1.6387110016420363,0.7960350377434632,0.47615945481541305,0.49538911888056353,1.0559672866607734,1.0982462274022209
0.5,0.6000000000000001,5159,5159,3038,0.5501304727778045,0.7525736523604327,0.6020589218883461,0.5888738127544098,1.0704257297018585,1.3319635588292305,0.7843584593377015,0.5775621808906246,0.6000922769780364,1.0500755770798442,1.0904120853000125
0.6000000000000001,0.7000000000000001,4538,4538,3012,0.6379137890621339,0.8737596324639074,0.6990077059711262,0.6637285147642134,1.0404674207466693,1.1466505068312032,0.761064637852707,0.6520985135977361,0.6751634032517776,1.0237512665588409,1.0602132575090728
0.7000000000000001,0.8,2666,2666,1926,0.7362819084555078,1.0,0.7999999999999999,0.722430607651913,0.9811875035302028,1.0,0.722430607651913,0.7079452522101026,0.736464961164343,0.9610703332039152,1.00036974091479
0.8,0.9,367,367,260,0.832187348700717,1.0,0.7999999999999997,0.7084468664850136,0.8513069413889821,1.0,0.7084468664850136,0.6680128129026341,0.7458300485555611,0.80408383894435,0.8978510110952562
0.9,1.0,26,26,15,0.927121177137875,1.0,0.8000000000000002,0.5769230769230769,0.6222736478785889,1.0,0.5769230769230769,0.41782512534332017,0.7215207820559463,0.4508622354836483,0.7947157344826251
