stadium,n,n_races,n_hits,mean_implied_p_norm,mean_actual_p,lift,mean_odds,ev_all_buy,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi,ev_boot_lo,ev_boot_hi
22,4376,1748,1037,0.22663041230991696,0.2369744058500914,1.0456425659501913,4.068395795246801,0.9641056763416207,0.2265656844404443,0.24770816723671332,1.020835820148684,1.0711729751051533,0.9405076807791175,0.9881203208101751
23,4436,1799,1038,0.22666324383478795,0.23399458972046888,1.032344661453026,4.064359783588818,0.9510382000372393,0.22370302607569914,0.2446104322296463,1.0101800152195441,1.0570193107428782,0.9299210289025965,0.9739120844935978
5,5094,1907,1221,0.22983100638003506,0.2396937573616019,1.042913056584099,3.9635846093443265,0.9500464876343586,0.22999527151714363,0.24966860598386867,1.0203922867423683,1.0647619628655944,0.9296192141545395,0.9704564120658674
11,5099,1923,1198,0.22690192224943673,0.23494802902529907,1.0354607254804,4.040988429103746,0.9494222667319646,0.22532418328893394,0.2448530002084222,1.0131840265029626,1.0583747431313835,0.9287924464668457,0.9707158392319089
7,4859,2028,1160,0.23351609028699127,0.23873224943403992,1.022337472080138,3.950030870549495,0.94299975506018,0.22881985488931633,0.24893543544936653,0.9987690478493353,1.0453966592940505,0.9210544104918538,0.9640784113868409
18,4147,1831,941,0.22337461596055244,0.22691102001446828,1.0158317185625978,4.15300217024355,0.9423619585722643,0.21639307131359564,0.23778506824792145,0.988948639003865,1.0412714286331193,0.9179925285655507,0.9657519782874296
20,4637,1951,1055,0.221577312838445,0.22751779167565236,1.02680995974321,4.136467543670477,0.941119960873917,0.2175518603375668,0.2378015071697301,1.0012389601193608,1.052019715341861,0.916911046370483,0.9642690026904829
19,4514,1902,1038,0.22534440198709965,0.22995126273814798,1.0204436440862288,4.083761630482941,0.9390661436511504,0.21981279380643728,0.24041325446157327,0.9942214891850009,1.0458587420792904,0.9140658847008999,0.9631233773178289
8,4806,1934,1117,0.22672194661953188,0.23241781106949647,1.025122686775105,4.029442363712026,0.936514174004647,0.2225485553783505,0.24258816868221,1.0024934708963074,1.048659710862266,0.9154910302277616,0.9581963001680414
2,6381,2148,1490,0.22625948285089853,0.23350572010656637,1.0320262256607515,4.005265632346027,0.9352524356990408,0.2249084167895211,0.24232891474946042,1.0136071640742068,1.0509287417182105,0.9184110158717018,0.9526106877980832
3,5389,1817,1269,0.22924859130680056,0.23547968083132306,1.0271804920981324,3.964891445537205,0.9336513721259442,0.22610685536981384,0.24511797747342035,1.0074784266219685,1.0467746579458526,0.91530733703369,0.9514285456611332
10,5022,1937,1161,0.2267590459053345,0.23118279569892472,1.019508592373585,4.031541218637993,0.9320229699001811,0.22154371242011292,0.24111136723576684,0.9962786066833789,1.04431257755274,0.91022602320962,0.9552939713029699
12,4831,2064,1109,0.2268599155897078,0.2295590974953426,1.01189801159283,4.059263092527427,0.9318407720167495,0.21975975375491935,0.2396611860376216,0.9866095136985649,1.0360171257163493,0.9075456892998984,0.9542991709385634
6,5477,2080,1278,0.2282769492865032,0.2333394193901771,1.0221768782152427,3.985083074675918,0.9298769708665005,0.22407196684699104,0.242870193304416,1.0013816421691824,1.0430868869167935,0.9108680031783978,0.9494158484989642
14,5148,1848,1178,0.2239724247155259,0.22882672882672883,1.0216736686106271,4.060780885780886,0.9292152065753465,0.21934040040900327,0.2385979390194108,0.9999548690942287,1.0429343886556681,0.9091712899550183,0.9491492189921827
1,5777,2126,1340,0.22752713535617866,0.231954301540592,1.0194577502919944,4.005331486930934,0.9290538674896055,0.2229468464903001,0.24121270684411494,0.9975229068128931,1.0405234104903436,0.9086901403702564,0.9482112281279625
9,4243,1682,982,0.22781679682212644,0.231440018854584,1.0159041040125172,4.00688192316757,0.9273528278459943,0.22096319364387906,0.2422591196619281,0.990906340818303,1.0401196662895091,0.904454662017723,0.9506051765218003
4,5394,1837,1249,0.22759676835776,0.23155357804968482,1.0173851751959198,3.9921950315165002,0.9244070438198199,0.22224234200788626,0.24113397588059157,0.9974556049781432,1.0391547661442362,0.9058107931931824,0.9446302400992435
24,4649,2055,1043,0.22628881797351266,0.22434932243493225,0.9914291145450791,4.080770058077006,0.9155179975423353,0.21444793834547624,0.2345713566082495,0.9662008860775214,1.0156258326773016,0.8918733828269033,0.9378945709298543
21,4312,1922,954,0.2247294797158554,0.2212430426716141,0.984486071659804,4.133696660482375,0.9145516266466108,0.2110222545194834,0.23181342087274712,0.9568254167745619,1.0106114075082548,0.8885882784756572,0.9391730926733354
17,4863,1958,1090,0.22525838620418184,0.22414147645486326,0.99504165075432,4.068764137363767,0.9119788010953129,0.2144602010879027,0.23412953044456153,0.9711387324022458,1.0190611580627598,0.8904685933585488,0.9343023487907991
15,5110,2046,1134,0.22384980148851522,0.2219178082191781,0.9913692428740606,4.097945205479452,0.9094070182022894,0.21250487041645713,0.23162505730084074,0.9666943794104359,1.013722620963058,0.8865167000139423,0.9307891969562646
13,4084,1711,913,0.23123487936248466,0.22355533790401566,0.9667890005191193,3.9732615083251717,0.8882438190746527,0.2130169504734614,0.23445975760090312,0.9399043301109428,0.9926170015362529,0.863262532905741,0.9119139550670927
16,4737,1863,1040,0.22673014569062155,0.21954823728097952,0.9683239809696859,4.044395186827106,0.8879398341355691,0.20981718330845883,0.22959946913115836,0.9450381645746467,0.9927881521905202,0.8659596108826885,0.9107024334901909
