bin_lower,bin_upper,n,n_races,n_hits,mean_implied_p_norm,mean_implied_p_raw,mean_implied_p_takeout,mean_actual_p,lift,mean_odds,ev_all_buy,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi
0.0001,0.0003,170163,15415,19,0.00022081728610987743,0.00029546956436177777,0.00022160217327133337,0.00011165764590422124,0.5056562729815501,3609.920070755687,0.4030751770029798,7.673056923396188e-05,0.00016248063565656005,0.3182338174508385,0.7089668947247794
0.0003,0.001,721178,27472,291,0.0006224544943841643,0.0008324105351648688,0.0006243079013736516,0.00040350648522278825,0.6482505771317534,1343.5464808965332,0.5421297182400061,0.00036643622481869126,0.0004443252652761994,0.5893454553740503,0.7103426631103418
0.001,0.003,922195,28332,1451,0.0018298279436891772,0.0024461365080614052,0.0018346023810460541,0.0015734199382993834,0.8598731611493259,450.9346739030249,0.70950960678955,0.0015069780666443246,0.0016427863775670638,0.8240036719607323,0.8938329624361803
0.003,0.01,863842,28350,4722,0.005592107186875949,0.007473750595098336,0.005605312946323752,0.005466277397950088,0.9774986807797301,150.41099784451328,0.8221882379205824,0.005337330747144613,0.005598321787197274,0.9556702242930365,0.9978024575252823
0.01,0.03,475219,28344,8318,0.017115301244178656,0.022874127851726565,0.017155595888794933,0.01750350890852428,1.0226819066055097,48.14016548159903,0.8426218153650017,0.01719334264185085,0.017819169096068205,1.0080728762232878,1.0379065253547841
0.03,0.05,122553,28097,4763,0.038475661903775965,0.05143009097358628,0.03857256823018971,0.03886481767072206,1.0101143358604028,19.868300245608026,0.7721778664727182,0.037966846148133684,0.039783149261713155,0.9895445866173616,1.0324066689239126
0.05,0.1,87049,26415,5996,0.06811887566076735,0.0910876075799829,0.06831570568498718,0.06888074532734437,1.011184413412387,11.396735172144425,0.7850156129556682,0.06748222552123144,0.07030606327302578,0.9926194413966449,1.0291407204928373
0.1,0.2,19422,12206,2642,0.12556344477239137,0.1680804406701321,0.12606033050259904,0.1360313047060035,1.0833670974270195,6.111523015137473,0.8313584494899188,0.1320357510190769,0.14012824815339212,1.0540875704585,1.1129376923667016
0.2,0.5,577,561,148,0.22170946631456565,0.29746443661708116,0.2230983274628108,0.2564991334488735,1.1569155693377007,3.389948006932409,0.8695187262148987,0.227780232011086,0.28749092043348035,1.0229761551837906,1.2910392140347284
