month,n,n_races,n_hits,mean_implied_p_norm,mean_actual_p,lift,mean_odds,ev_all_buy,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi,ev_boot_lo,ev_boot_hi
2026-04,2493,1520,373,0.1300102040973401,0.1496189330124348,1.1508245375910142,5.968311271560369,0.8929723643369505,0.13824823802368386,0.1617493099313827,1.0673089568917686,1.2332412296738342,0.8281471421168333,0.9569721711092886
2025-05,3960,2357,585,0.129862594103636,0.14772727272727273,1.1375660077249032,5.976035353535354,0.882823404499541,0.13869314728031984,0.15724242769351626,1.0722041876301691,1.2029316453770773,0.8321464833433476,0.9335551442205666
2025-12,3368,2098,491,0.12780934420233583,0.14578384798099764,1.140635286808187,6.053444180522566,0.8824943861747565,0.13606629963180578,0.15607002932353475,1.070012020114701,1.2120751109903196,0.8277242837223764,0.9386679299757152
2025-11,2791,1763,404,0.12744751106841154,0.14475098530992475,1.1357694167305081,6.068147617341453,0.8783703466162476,0.1341401273186615,0.1560499198585192,1.0556156059003918,1.216553798575453,0.8160852127262456,0.9404678210404276
2026-02,2831,1741,404,0.1275132054923456,0.14270575768279758,1.1191449319448248,6.063899682091134,0.8653533986452907,0.13223375222530429,0.15386003240480242,1.0418857024228099,1.1998370984366178,0.8061374535050865,0.9272698236452049
2026-03,3387,2080,486,0.1292213199600524,0.14348981399468555,1.1104190395133258,6.0032181871863,0.8614006610488756,0.13386599731631682,0.15368273839506724,1.0431854745771234,1.1813111839915382,0.808875921095048,0.9161652392351464
2026-01,3763,2299,540,0.1290616724106456,0.14350252458145096,1.1118910974968448,6.0023917087430245,0.8613583637313933,0.1343580012060182,0.15315931286973483,1.0473865417840493,1.1767114635913933,0.811738131767963,0.9118846031093373
2025-08,3668,2225,522,0.1283077002179851,0.14231188658669575,1.1091453306771035,6.036832061068702,0.8591129596177378,0.13308685279863827,0.1520641981541321,1.0414880381988059,1.1779489479951435,0.8069910535458783,0.9132283461190809
2025-10,2978,1836,424,0.12880329979808888,0.14237743451981194,1.1053865447779814,6.008797850906648,0.855517222560248,0.13216926983514543,0.15323481689939406,1.030511384862972,1.180368039887955,0.7979238533761625,0.9140217579279646
2025-06,3271,2015,451,0.12820836061844681,0.13787832467135433,1.0754238179652396,6.036594313665545,0.8323155106888294,0.1282615738741859,0.14809362406445892,1.0067626960261775,1.1450053260539141,0.7796198363088116,0.8862908744493071
2025-09,2620,1645,353,0.12662067317369713,0.1347328244274809,1.0640665623587042,6.095687022900764,0.8212891294213625,0.12413675120828194,0.14608250585735583,0.9835703511414383,1.141583271379015,0.7589446308713604,0.8816362729386776
2025-07,3502,2189,455,0.12765252178360573,0.12992575671045117,1.0178079907477189,6.063735008566533,0.7878353594796609,0.12086534800635873,0.13955754120292135,0.9513998022589979,1.0845279133984933,0.7363419295767941,0.8395240872859681
